,split,domain_remapped,domain,category,y,path
0,train,1,art_painting,dog,0,art_painting/dog/pic_001.jpg
1,id_val,1,art_painting,dog,0,art_painting/dog/pic_002.jpg
2,train,1,art_painting,dog,0,art_painting/dog/pic_003.jpg
3,id_test,1,art_painting,dog,0,art_painting/dog/pic_004.jpg
4,train,1,art_painting,dog,0,art_painting/dog/pic_005.jpg
5,train,1,art_painting,dog,0,art_painting/dog/pic_006.jpg
6,train,1,art_painting,dog,0,art_painting/dog/pic_007.jpg
7,train,1,art_painting,dog,0,art_painting/dog/pic_008.jpg
8,train,1,art_painting,dog,0,art_painting/dog/pic_009.jpg
9,train,1,art_painting,dog,0,art_painting/dog/pic_010.jpg
10,train,1,art_painting,dog,0,art_painting/dog/pic_011.jpg
11,train,1,art_painting,dog,0,art_painting/dog/pic_012.jpg
12,train,1,art_painting,dog,0,art_painting/dog/pic_013.jpg
13,train,1,art_painting,dog,0,art_painting/dog/pic_014.jpg
14,train,1,art_painting,dog,0,art_painting/dog/pic_015.jpg
15,train,1,art_painting,dog,0,art_painting/dog/pic_016.jpg
16,train,1,art_painting,dog,0,art_painting/dog/pic_017.jpg
17,train,1,art_painting,dog,0,art_painting/dog/pic_018.jpg
18,train,1,art_painting,dog,0,art_painting/dog/pic_019.jpg
19,train,1,art_painting,dog,0,art_painting/dog/pic_020.jpg
20,train,1,art_painting,dog,0,art_painting/dog/pic_021.jpg
21,train,1,art_painting,dog,0,art_painting/dog/pic_022.jpg
22,train,1,art_painting,dog,0,art_painting/dog/pic_023.jpg
23,train,1,art_painting,dog,0,art_painting/dog/pic_024.jpg
24,train,1,art_painting,dog,0,art_painting/dog/pic_025.jpg
25,train,1,art_painting,dog,0,art_painting/dog/pic_026.jpg
26,train,1,art_painting,dog,0,art_painting/dog/pic_027.jpg
27,train,1,art_painting,dog,0,art_painting/dog/pic_028.jpg
28,id_val,1,art_painting,dog,0,art_painting/dog/pic_029.jpg
29,train,1,art_painting,dog,0,art_painting/dog/pic_031.jpg
30,train,1,art_painting,dog,0,art_painting/dog/pic_032.jpg
31,train,1,art_painting,dog,0,art_painting/dog/pic_033.jpg
32,train,1,art_painting,dog,0,art_painting/dog/pic_034.jpg
33,id_val,1,art_painting,dog,0,art_painting/dog/pic_035.jpg
34,train,1,art_painting,dog,0,art_painting/dog/pic_036.jpg
35,train,1,art_painting,dog,0,art_painting/dog/pic_037.jpg
36,train,1,art_painting,dog,0,art_painting/dog/pic_038.jpg
37,train,1,art_painting,dog,0,art_painting/dog/pic_039.jpg
38,train,1,art_painting,dog,0,art_painting/dog/pic_040.jpg
39,train,1,art_painting,dog,0,art_painting/dog/pic_041.jpg
40,train,1,art_painting,dog,0,art_painting/dog/pic_042.jpg
41,train,1,art_painting,dog,0,art_painting/dog/pic_043.jpg
42,train,1,art_painting,dog,0,art_painting/dog/pic_044.jpg
43,id_val,1,art_painting,dog,0,art_painting/dog/pic_045.jpg
44,train,1,art_painting,dog,0,art_painting/dog/pic_046.jpg
45,train,1,art_painting,dog,0,art_painting/dog/pic_047.jpg
46,train,1,art_painting,dog,0,art_painting/dog/pic_048.jpg
47,train,1,art_painting,dog,0,art_painting/dog/pic_049.jpg
48,train,1,art_painting,dog,0,art_painting/dog/pic_050.jpg
49,train,1,art_painting,dog,0,art_painting/dog/pic_051.jpg
50,train,1,art_painting,dog,0,art_painting/dog/pic_052.jpg
51,train,1,art_painting,dog,0,art_painting/dog/pic_053.jpg
52,train,1,art_painting,dog,0,art_painting/dog/pic_054.jpg
53,train,1,art_painting,dog,0,art_painting/dog/pic_055.jpg
54,train,1,art_painting,dog,0,art_painting/dog/pic_056.jpg
55,train,1,art_painting,dog,0,art_painting/dog/pic_057.jpg
56,train,1,art_painting,dog,0,art_painting/dog/pic_058.jpg
57,train,1,art_painting,dog,0,art_painting/dog/pic_059.jpg
58,train,1,art_painting,dog,0,art_painting/dog/pic_060.jpg
59,train,1,art_painting,dog,0,art_painting/dog/pic_061.jpg
60,train,1,art_painting,dog,0,art_painting/dog/pic_062.jpg
61,train,1,art_painting,dog,0,art_painting/dog/pic_063.jpg
62,id_val,1,art_painting,dog,0,art_painting/dog/pic_064.jpg
63,train,1,art_painting,dog,0,art_painting/dog/pic_065.jpg
64,id_test,1,art_painting,dog,0,art_painting/dog/pic_066.jpg
65,train,1,art_painting,dog,0,art_painting/dog/pic_067.jpg
66,train,1,art_painting,dog,0,art_painting/dog/pic_070.jpg
67,train,1,art_painting,dog,0,art_painting/dog/pic_072.jpg
68,train,1,art_painting,dog,0,art_painting/dog/pic_073.jpg
69,train,1,art_painting,dog,0,art_painting/dog/pic_074.jpg
70,id_test,1,art_painting,dog,0,art_painting/dog/pic_075.jpg
71,train,1,art_painting,dog,0,art_painting/dog/pic_076.jpg
72,train,1,art_painting,dog,0,art_painting/dog/pic_077.jpg
73,train,1,art_painting,dog,0,art_painting/dog/pic_078.jpg
74,train,1,art_painting,dog,0,art_painting/dog/pic_079.jpg
75,train,1,art_painting,dog,0,art_painting/dog/pic_080.jpg
76,train,1,art_painting,dog,0,art_painting/dog/pic_081.jpg
77,train,1,art_painting,dog,0,art_painting/dog/pic_082.jpg
78,train,1,art_painting,dog,0,art_painting/dog/pic_083.jpg
79,id_test,1,art_painting,dog,0,art_painting/dog/pic_084.jpg
80,train,1,art_painting,dog,0,art_painting/dog/pic_085.jpg
81,train,1,art_painting,dog,0,art_painting/dog/pic_086.jpg
82,train,1,art_painting,dog,0,art_painting/dog/pic_087.jpg
83,train,1,art_painting,dog,0,art_painting/dog/pic_088.jpg
84,train,1,art_painting,dog,0,art_painting/dog/pic_089.jpg
85,train,1,art_painting,dog,0,art_painting/dog/pic_090.jpg
86,train,1,art_painting,dog,0,art_painting/dog/pic_091.jpg
87,train,1,art_painting,dog,0,art_painting/dog/pic_092.jpg
88,train,1,art_painting,dog,0,art_painting/dog/pic_094.jpg
89,train,1,art_painting,dog,0,art_painting/dog/pic_095.jpg
90,train,1,art_painting,dog,0,art_painting/dog/pic_096.jpg
91,id_test,1,art_painting,dog,0,art_painting/dog/pic_097.jpg
92,train,1,art_painting,dog,0,art_painting/dog/pic_098.jpg
93,train,1,art_painting,dog,0,art_painting/dog/pic_099.jpg
94,train,1,art_painting,dog,0,art_painting/dog/pic_100.jpg
95,train,1,art_painting,dog,0,art_painting/dog/pic_101.jpg
96,train,1,art_painting,dog,0,art_painting/dog/pic_102.jpg
97,train,1,art_painting,dog,0,art_painting/dog/pic_103.jpg
98,train,1,art_painting,dog,0,art_painting/dog/pic_104.jpg
99,train,1,art_painting,dog,0,art_painting/dog/pic_105.jpg
100,train,1,art_painting,dog,0,art_painting/dog/pic_106.jpg
101,train,1,art_painting,dog,0,art_painting/dog/pic_107.jpg
102,id_val,1,art_painting,dog,0,art_painting/dog/pic_108.jpg
103,train,1,art_painting,dog,0,art_painting/dog/pic_109.jpg
104,train,1,art_painting,dog,0,art_painting/dog/pic_110.jpg
105,train,1,art_painting,dog,0,art_painting/dog/pic_112.jpg
106,train,1,art_painting,dog,0,art_painting/dog/pic_113.jpg
107,train,1,art_painting,dog,0,art_painting/dog/pic_114.jpg
108,train,1,art_painting,dog,0,art_painting/dog/pic_116.jpg
